,project_name,num_commits,project_age_days,num_issues,num_pull,num_stargazers,num_watchers,num_forks,num_subscribers,num_contributors,project_size(kB),ssf_score,ssf0_Binary-Artifacts,ssf1_Branch-Protection,ssf3_CII-Best-Practices,ssf7_Dependency-Update-Tool,ssf8_Fuzzing,ssf9_License,ssf10_Maintained,ssf13_SAST,ssf17_Vulnerabilities,Generic policy,Reporting mechanism,Scope of practice,User guideline
166,plone/plone.rest,0.0028505307583344508,0.5806509298998569,0.0013105404899405218,0.0012487888900850467,5.905945139138698e-05,5.905945139138698e-05,6.72956567383141e-05,0.02254449571522742,0.05427974947807933,7.993548581284933e-05,4.5,10,6,0,0,0,0,0,0,10,0,1,0,0
167,apache/avro,0.02647087970060683,0.9653075822603719,0.023200887135100882,0.0346861879642588,0.015715183111144518,0.015715183111144518,0.021951843228038063,0.014238628872775213,0.7244258872651357,0.00894816907440793,6.8,10,1,0,10,10,10,10,8,0,1,1,0,0
168,richardbarran/django-photologue,0.005129789503751159,0.7560801144492132,0.0016345752264642771,0.0009042954031650339,0.0036241026990169287,0.0036241026990169287,0.0032032732607437516,0.006064601186552406,0.08977035490605427,0.0009674496451670363,4.1,10,0,0,0,0,10,0,0,10,1,1,1,0
169,zopefoundation/restrictedpython,0.004243734953103232,0.7185264663805436,0.002066621541829284,0.0020238992356550758,0.0025073421636161563,0.0025073421636161563,0.0005114469912111873,0.01028345418589321,0.07933194154488517,0.0002917809708477257,6.2,10,8,0,0,0,9,10,10,10,1,1,1,0
170,wiremock/wiremock,0.0207115251213953,0.8093705293276109,0.02070942004982934,0.01494240499515556,0.03410414865800819,0.03410414865800819,0.0192600169585055,0.018325642715886617,0.4613778705636743,0.007685319979611516,6.1,7,3,0,10,0,10,10,0,9,0,1,0,0
171,pdm-project/pdm,0.016823377849802094,0.2727110157367668,0.020457393032533088,0.011938852406071697,0.0424744836324784,0.0424744836324784,0.005329816013674478,0.005141727092946605,0.40501043841336115,0.002084408254539587,4.3,0,3,0,10,0,10,10,0,0,1,1,1,0
172,vinitkumar/json2xml,0.002116038170297353,0.6956366237482117,0.0015769690510822761,0.0015932823770050597,0.0005261660214869022,0.0005261660214869022,0.0004306922031252103,0.00026367831245880025,0.022964509394572022,0.0001587196374679004,6.6,10,6,0,10,0,9,10,10,7,0,1,0,0
173,archivebox/archivebox,0.02555567861868759,0.44545779685264664,0.009814652130708411,0.00453224243729142,0.11792024826445748,0.11792024826445748,0.01569334715137485,0.022808174027686222,0.2463465553235908,0.0017834166104294755,6.1,10,1,0,10,0,10,10,7,10,1,1,0,1
174,zopefoundation/accesscontrol,0.002442479320536063,0.719062947067239,0.001087316560335268,0.0011841963612875444,6.442849242696761e-05,6.442849242696761e-05,0.00021534610156260516,0.008965062623599208,0.06889352818371607,0.00013536400169542178,5.7,10,8,0,0,0,9,6,0,10,1,1,1,0
175,pallets/flask,0.03103522649769451,0.9079041487839771,0.03772484410328788,0.027903972440521046,0.3648746597370244,0.3648746597370244,0.21817251914561436,0.27936717205009887,0.8350730688935282,0.0017380211493505735,6.6,10,3,0,10,10,10,10,0,4,1,1,0,1
176,snowflakedb/snowflake-connector-python,0.008609885337545978,0.5008941344778255,0.014977605599320248,0.014802454516094304,0.003162365169956994,0.003162365169956994,0.006339250864749189,0.005405405405405405,0.21294363256784965,0.003498740029240598,6.6,10,1,0,10,0,10,10,0,10,0,1,0,0
177,plannigan/hyper-bump-it,0.006418066185943211,0.08780400572246067,0.004046833820585567,0.005651846269781462,2.6845205177903176e-05,2.6845205177903176e-05,1.3459131347662823e-05,0.0003955174686882004,0.0041753653444676405,0.000798039047662438,8.2,10,3,5,10,0,10,10,10,10,1,1,1,0
178,zopefoundation/products.cmfcore,0.00452354165330784,0.573140200286123,0.001029710384953267,0.0010227150392937883,3.2214246213483805e-05,3.2214246213483805e-05,0.0002691826269532564,0.008965062623599208,0.08768267223382045,0.00034441338948993104,5.9,10,8,0,0,0,9,4,9,10,1,1,1,0
179,twisted/twisted,0.17831847831789538,0.8272532188841202,0.08887192707058197,0.022305953278070837,0.029975356101646686,0.029975356101646686,0.01578756107080849,0.022676334871456823,0.37160751565762,0.012577174339787988,6.7,10,1,0,0,0,9,10,0,10,0,1,0,1
180,oauthlib/oauthlib,0.009799063813415566,0.802038626609442,0.0063294785200973544,0.005404241576057703,0.015103112433088326,0.015103112433088326,0.0065411378349641315,0.008569545154911009,0.35490605427974947,0.0005011593112587486,6.1,10,6,0,0,10,10,5,0,10,1,1,1,0
181,encode/uvicorn,0.007513975761744595,0.4408082975679542,0.014905597880092747,0.014899343309290559,0.04565832496657772,0.04565832496657772,0.00995975719727049,0.012261041529334212,0.37160751565762,0.0005528048720514126,6.7,10,8,0,10,0,10,10,0,10,0,1,0,0
182,celery/celery,0.07396223775408489,0.9699570815450643,0.062445094114089036,0.03840025837011519,0.1330233606975458,0.1330233606975458,0.0627733886054994,0.06222808174027686,0.8225469728601252,0.005799928058062768,6.2,10,3,5,10,0,9,10,10,0,1,1,1,0
183,plone/plone.restapi,0.021889044984756363,0.6430615164520743,0.013134207987096217,0.011605124340617935,0.00045636848802435397,0.00045636848802435397,0.0010228939824223746,0.025840474620962426,0.18997912317327764,0.0077386103034867496,5.6,10,8,0,0,0,0,10,0,10,0,1,0,0
184,facebook/zstd,0.06285158003346022,0.5944206008583691,0.02976799112864899,0.029281946388201096,0.12690265391698388,0.12690265391698388,0.028250716698744266,0.05392221489782465,0.6471816283924843,0.006574446993644471,7.0,10,1,0,10,10,9,10,0,10,0,1,0,0
185,pytorchlightning/pytorch-lightning,0.060712224638145816,0.3213519313304721,0.12531503377162032,0.11078695230918291,0.15183111144518477,0.15183111144518477,0.04549186395510034,0.03295978905735003,0.9185803757828809,0.021560212391546377,4.9,10,1,0,10,0,10,10,0,8,0,0,0,0
186,python-rope/rope,0.01946988288923735,0.669349070100143,0.005357374310526088,0.0041339218430401555,0.010469630019382238,0.010469630019382238,0.002207297541016703,0.0035596572181938032,0.1336116910229645,0.0034790028722497712,4.7,9,3,0,0,0,10,0,10,10,1,1,1,0
